제작자,차명,생산기간(부터),생산기간(까지),리콜개시일,리콜대수,리콜사유,시정대수,시정율(퍼센트)
비엠더블유코리아(주),BMW X4 xDrive20d,2014-05-21,2016-11-05,2018-08-20,3766,"BMW N47, B47, N57 엔진이 장착된 일부차종의 EGR(배출가스재순환장치) 쿨러 결함으로 미세하게 냉각수가 새어 나와 냉각수 성분 중 물은 증발하고, 에틸렌 글리콜(부동액의 주성분)은 남아 있게 되어 배출가스에 있는 오일 성분과 그을음(Soot)이 함께 퇴적되어 EGR 쿨러 내부의 배출가스 통로 일부분을 막아 배출가스 냉각 효율을 저하시키는 현상을 발견 하였습니다. 이러한 경우 고온의 배출가스가 정상적으로 냉각 되지 않은 상태로 흡기다기관으로 전달 되어 일부 국소 부위 표면에 천공 현상이 발생 할 가능성이 있습니다. 또한, 에틸렌 클리콜, 오일, 그을음으로 퇴적된 혼합물이 고온의 배출가스에 의해 자체 온도가 상승하게 된 상태에서 흡기다기관 내부 표면에 점착하게 되면 천공이 발생 할 수 있습니다. 이러한 경우 발생된 천공에서 냉각되지 않은 고온의 배출가스 누설로 인하여 흡기 시스템 주변부의 온도가 높아져 드문 경우에 화재가 발생 할 수 있습니다.",3755,99.71
비엠더블유코리아(주),BMW X4 xDrive30d,2014-03-03,2015-05-27,2018-08-20,166,"BMW N47, B47, N57 엔진이 장착된 일부차종의 EGR(배출가스재순환장치) 쿨러 결함으로 미세하게 냉각수가 새어 나와 냉각수 성분 중 물은 증발하고, 에틸렌 글리콜(부동액의 주성분)은 남아 있게 되어 배출가스에 있는 오일 성분과 그을음(Soot)이 함께 퇴적되어 EGR 쿨러 내부의 배출가스 통로 일부분을 막아 배출가스 냉각 효율을 저하시키는 현상을 발견 하였습니다. 이러한 경우 고온의 배출가스가 정상적으로 냉각 되지 않은 상태로 흡기다기관으로 전달 되어 일부 국소 부위 표면에 천공 현상이 발생 할 가능성이 있습니다. 또한, 에틸렌 클리콜, 오일, 그을음으로 퇴적된 혼합물이 고온의 배출가스에 의해 자체 온도가 상승하게 된 상태에서 흡기다기관 내부 표면에 점착하게 되면 천공이 발생 할 수 있습니다. 이러한 경우 발생된 천공에서 냉각되지 않은 고온의 배출가스 누설로 인하여 흡기 시스템 주변부의 온도가 높아져 드문 경우에 화재가 발생 할 수 있습니다.",165,99.4
비엠더블유코리아(주),BMW X5 xDrive30d,2013-07-20,2015-06-17,2018-08-20,2615,"BMW N47, B47, N57 엔진이 장착된 일부차종의 EGR(배출가스재순환장치) 쿨러 결함으로 미세하게 냉각수가 새어 나와 냉각수 성분 중 물은 증발하고, 에틸렌 글리콜(부동액의 주성분)은 남아 있게 되어 배출가스에 있는 오일 성분과 그을음(Soot)이 함께 퇴적되어 EGR 쿨러 내부의 배출가스 통로 일부분을 막아 배출가스 냉각 효율을 저하시키는 현상을 발견 하였습니다. 이러한 경우 고온의 배출가스가 정상적으로 냉각 되지 않은 상태로 흡기다기관으로 전달 되어 일부 국소 부위 표면에 천공 현상이 발생 할 가능성이 있습니다. 또한, 에틸렌 클리콜, 오일, 그을음으로 퇴적된 혼합물이 고온의 배출가스에 의해 자체 온도가 상승하게 된 상태에서 흡기다기관 내부 표면에 점착하게 되면 천공이 발생 할 수 있습니다. 이러한 경우 발생된 천공에서 냉각되지 않은 고온의 배출가스 누설로 인하여 흡기 시스템 주변부의 온도가 높아져 드문 경우에 화재가 발생 할 수 있습니다.",2598,99.35
비엠더블유코리아(주),BMW X5 xDrive40d,2014-01-11,2015-06-18,2018-08-20,403,"BMW N47, B47, N57 엔진이 장착된 일부차종의 EGR(배출가스재순환장치) 쿨러 결함으로 미세하게 냉각수가 새어 나와 냉각수 성분 중 물은 증발하고, 에틸렌 글리콜(부동액의 주성분)은 남아 있게 되어 배출가스에 있는 오일 성분과 그을음(Soot)이 함께 퇴적되어 EGR 쿨러 내부의 배출가스 통로 일부분을 막아 배출가스 냉각 효율을 저하시키는 현상을 발견 하였습니다. 이러한 경우 고온의 배출가스가 정상적으로 냉각 되지 않은 상태로 흡기다기관으로 전달 되어 일부 국소 부위 표면에 천공 현상이 발생 할 가능성이 있습니다. 또한, 에틸렌 클리콜, 오일, 그을음으로 퇴적된 혼합물이 고온의 배출가스에 의해 자체 온도가 상승하게 된 상태에서 흡기다기관 내부 표면에 점착하게 되면 천공이 발생 할 수 있습니다. 이러한 경우 발생된 천공에서 냉각되지 않은 고온의 배출가스 누설로 인하여 흡기 시스템 주변부의 온도가 높아져 드문 경우에 화재가 발생 할 수 있습니다.",402,99.75
비엠더블유코리아(주),BMW X6 xDrive30d,2014-07-07,2015-06-17,2018-08-20,1181,"BMW N47, B47, N57 엔진이 장착된 일부차종의 EGR(배출가스재순환장치) 쿨러 결함으로 미세하게 냉각수가 새어 나와 냉각수 성분 중 물은 증발하고, 에틸렌 글리콜(부동액의 주성분)은 남아 있게 되어 배출가스에 있는 오일 성분과 그을음(Soot)이 함께 퇴적되어 EGR 쿨러 내부의 배출가스 통로 일부분을 막아 배출가스 냉각 효율을 저하시키는 현상을 발견 하였습니다. 이러한 경우 고온의 배출가스가 정상적으로 냉각 되지 않은 상태로 흡기다기관으로 전달 되어 일부 국소 부위 표면에 천공 현상이 발생 할 가능성이 있습니다. 또한, 에틸렌 클리콜, 오일, 그을음으로 퇴적된 혼합물이 고온의 배출가스에 의해 자체 온도가 상승하게 된 상태에서 흡기다기관 내부 표면에 점착하게 되면 천공이 발생 할 수 있습니다. 이러한 경우 발생된 천공에서 냉각되지 않은 고온의 배출가스 누설로 인하여 흡기 시스템 주변부의 온도가 높아져 드문 경우에 화재가 발생 할 수 있습니다.",1174,99.41
비엠더블유코리아(주),BMW 320d Gran Turismo,2013-02-26,2015-04-14,2018-08-20,1949,"BMW N47, B47, N57 엔진이 장착된 일부차종의 EGR(배출가스재순환장치) 쿨러 결함으로 미세하게 냉각수가 새어 나와 냉각수 성분 중 물은 증발하고, 에틸렌 글리콜(부동액의 주성분)은 남아 있게 되어 배출가스에 있는 오일 성분과 그을음(Soot)이 함께 퇴적되어 EGR 쿨러 내부의 배출가스 통로 일부분을 막아 배출가스 냉각 효율을 저하시키는 현상을 발견 하였습니다. 이러한 경우 고온의 배출가스가 정상적으로 냉각 되지 않은 상태로 흡기다기관으로 전달 되어 일부 국소 부위 표면에 천공 현상이 발생 할 가능성이 있습니다. 또한, 에틸렌 클리콜, 오일, 그을음으로 퇴적된 혼합물이 고온의 배출가스에 의해 자체 온도가 상승하게 된 상태에서 흡기다기관 내부 표면에 점착하게 되면 천공이 발생 할 수 있습니다. 이러한 경우 발생된 천공에서 냉각되지 않은 고온의 배출가스 누설로 인하여 흡기 시스템 주변부의 온도가 높아져 드문 경우에 화재가 발생 할 수 있습니다.",1949,100
비엠더블유코리아(주),BMW 320d EfficientDynamics Edition,2015-07-06,2016-07-29,2018-08-20,1535,"BMW N47, B47, N57 엔진이 장착된 일부차종의 EGR(배출가스재순환장치) 쿨러 결함으로 미세하게 냉각수가 새어 나와 냉각수 성분 중 물은 증발하고, 에틸렌 글리콜(부동액의 주성분)은 남아 있게 되어 배출가스에 있는 오일 성분과 그을음(Soot)이 함께 퇴적되어 EGR 쿨러 내부의 배출가스 통로 일부분을 막아 배출가스 냉각 효율을 저하시키는 현상을 발견 하였습니다. 이러한 경우 고온의 배출가스가 정상적으로 냉각 되지 않은 상태로 흡기다기관으로 전달 되어 일부 국소 부위 표면에 천공 현상이 발생 할 가능성이 있습니다. 또한, 에틸렌 클리콜, 오일, 그을음으로 퇴적된 혼합물이 고온의 배출가스에 의해 자체 온도가 상승하게 된 상태에서 흡기다기관 내부 표면에 점착하게 되면 천공이 발생 할 수 있습니다. 이러한 경우 발생된 천공에서 냉각되지 않은 고온의 배출가스 누설로 인하여 흡기 시스템 주변부의 온도가 높아져 드문 경우에 화재가 발생 할 수 있습니다.",1524,99.28
비엠더블유코리아(주),BMW 320d EfficientDynamics Edition,2011-11-08,2015-04-29,2018-08-20,3855,"BMW N47, B47, N57 엔진이 장착된 일부차종의 EGR(배출가스재순환장치) 쿨러 결함으로 미세하게 냉각수가 새어 나와 냉각수 성분 중 물은 증발하고, 에틸렌 글리콜(부동액의 주성분)은 남아 있게 되어 배출가스에 있는 오일 성분과 그을음(Soot)이 함께 퇴적되어 EGR 쿨러 내부의 배출가스 통로 일부분을 막아 배출가스 냉각 효율을 저하시키는 현상을 발견 하였습니다. 이러한 경우 고온의 배출가스가 정상적으로 냉각 되지 않은 상태로 흡기다기관으로 전달 되어 일부 국소 부위 표면에 천공 현상이 발생 할 가능성이 있습니다. 또한, 에틸렌 클리콜, 오일, 그을음으로 퇴적된 혼합물이 고온의 배출가스에 의해 자체 온도가 상승하게 된 상태에서 흡기다기관 내부 표면에 점착하게 되면 천공이 발생 할 수 있습니다. 이러한 경우 발생된 천공에서 냉각되지 않은 고온의 배출가스 누설로 인하여 흡기 시스템 주변부의 온도가 높아져 드문 경우에 화재가 발생 할 수 있습니다.",3855,100
비엠더블유코리아(주),BMW 320d,2015-07-02,2016-08-16,2018-08-20,6352,"BMW N47, B47, N57 엔진이 장착된 일부차종의 EGR(배출가스재순환장치) 쿨러 결함으로 미세하게 냉각수가 새어 나와 냉각수 성분 중 물은 증발하고, 에틸렌 글리콜(부동액의 주성분)은 남아 있게 되어 배출가스에 있는 오일 성분과 그을음(Soot)이 함께 퇴적되어 EGR 쿨러 내부의 배출가스 통로 일부분을 막아 배출가스 냉각 효율을 저하시키는 현상을 발견 하였습니다. 이러한 경우 고온의 배출가스가 정상적으로 냉각 되지 않은 상태로 흡기다기관으로 전달 되어 일부 국소 부위 표면에 천공 현상이 발생 할 가능성이 있습니다. 또한, 에틸렌 클리콜, 오일, 그을음으로 퇴적된 혼합물이 고온의 배출가스에 의해 자체 온도가 상승하게 된 상태에서 흡기다기관 내부 표면에 점착하게 되면 천공이 발생 할 수 있습니다. 이러한 경우 발생된 천공에서 냉각되지 않은 고온의 배출가스 누설로 인하여 흡기 시스템 주변부의 온도가 높아져 드문 경우에 화재가 발생 할 수 있습니다.",6313,99.39
비엠더블유코리아(주),BMW 320d,2013-02-28,2015-04-27,2018-08-20,7756,"BMW N47, B47, N57 엔진이 장착된 일부차종의 EGR(배출가스재순환장치) 쿨러 결함으로 미세하게 냉각수가 새어 나와 냉각수 성분 중 물은 증발하고, 에틸렌 글리콜(부동액의 주성분)은 남아 있게 되어 배출가스에 있는 오일 성분과 그을음(Soot)이 함께 퇴적되어 EGR 쿨러 내부의 배출가스 통로 일부분을 막아 배출가스 냉각 효율을 저하시키는 현상을 발견 하였습니다. 이러한 경우 고온의 배출가스가 정상적으로 냉각 되지 않은 상태로 흡기다기관으로 전달 되어 일부 국소 부위 표면에 천공 현상이 발생 할 가능성이 있습니다. 또한, 에틸렌 클리콜, 오일, 그을음으로 퇴적된 혼합물이 고온의 배출가스에 의해 자체 온도가 상승하게 된 상태에서 흡기다기관 내부 표면에 점착하게 되면 천공이 발생 할 수 있습니다. 이러한 경우 발생된 천공에서 냉각되지 않은 고온의 배출가스 누설로 인하여 흡기 시스템 주변부의 온도가 높아져 드문 경우에 화재가 발생 할 수 있습니다.",7756,100
비엠더블유코리아(주),BMW 220d Coupe,2014-10-16,2015-02-25,2018-08-20,38,"BMW N47, B47, N57 엔진이 장착된 일부차종의 EGR(배출가스재순환장치) 쿨러 결함으로 미세하게 냉각수가 새어 나와 냉각수 성분 중 물은 증발하고, 에틸렌 글리콜(부동액의 주성분)은 남아 있게 되어 배출가스에 있는 오일 성분과 그을음(Soot)이 함께 퇴적되어 EGR 쿨러 내부의 배출가스 통로 일부분을 막아 배출가스 냉각 효율을 저하시키는 현상을 발견 하였습니다. 이러한 경우 고온의 배출가스가 정상적으로 냉각 되지 않은 상태로 흡기다기관으로 전달 되어 일부 국소 부위 표면에 천공 현상이 발생 할 가능성이 있습니다. 또한, 에틸렌 클리콜, 오일, 그을음으로 퇴적된 혼합물이 고온의 배출가스에 의해 자체 온도가 상승하게 된 상태에서 흡기다기관 내부 표면에 점착하게 되면 천공이 발생 할 수 있습니다. 이러한 경우 발생된 천공에서 냉각되지 않은 고온의 배출가스 누설로 인하여 흡기 시스템 주변부의 온도가 높아져 드문 경우에 화재가 발생 할 수 있습니다.",38,100
비엠더블유코리아(주),BMW 220d Coupe,2013-10-11,2014-05-23,2018-08-20,174,"BMW N47, B47, N57 엔진이 장착된 일부차종의 EGR(배출가스재순환장치) 쿨러 결함으로 미세하게 냉각수가 새어 나와 냉각수 성분 중 물은 증발하고, 에틸렌 글리콜(부동액의 주성분)은 남아 있게 되어 배출가스에 있는 오일 성분과 그을음(Soot)이 함께 퇴적되어 EGR 쿨러 내부의 배출가스 통로 일부분을 막아 배출가스 냉각 효율을 저하시키는 현상을 발견 하였습니다. 이러한 경우 고온의 배출가스가 정상적으로 냉각 되지 않은 상태로 흡기다기관으로 전달 되어 일부 국소 부위 표면에 천공 현상이 발생 할 가능성이 있습니다. 또한, 에틸렌 클리콜, 오일, 그을음으로 퇴적된 혼합물이 고온의 배출가스에 의해 자체 온도가 상승하게 된 상태에서 흡기다기관 내부 표면에 점착하게 되면 천공이 발생 할 수 있습니다. 이러한 경우 발생된 천공에서 냉각되지 않은 고온의 배출가스 누설로 인하여 흡기 시스템 주변부의 온도가 높아져 드문 경우에 화재가 발생 할 수 있습니다.",174,100
비엠더블유코리아(주),BMW 120d Sport,2013-02-11,2014-11-24,2018-08-20,243,"BMW N47, B47, N57 엔진이 장착된 일부차종의 EGR(배출가스재순환장치) 쿨러 결함으로 미세하게 냉각수가 새어 나와 냉각수 성분 중 물은 증발하고, 에틸렌 글리콜(부동액의 주성분)은 남아 있게 되어 배출가스에 있는 오일 성분과 그을음(Soot)이 함께 퇴적되어 EGR 쿨러 내부의 배출가스 통로 일부분을 막아 배출가스 냉각 효율을 저하시키는 현상을 발견 하였습니다. 이러한 경우 고온의 배출가스가 정상적으로 냉각 되지 않은 상태로 흡기다기관으로 전달 되어 일부 국소 부위 표면에 천공 현상이 발생 할 가능성이 있습니다. 또한, 에틸렌 클리콜, 오일, 그을음으로 퇴적된 혼합물이 고온의 배출가스에 의해 자체 온도가 상승하게 된 상태에서 흡기다기관 내부 표면에 점착하게 되면 천공이 발생 할 수 있습니다. 이러한 경우 발생된 천공에서 냉각되지 않은 고온의 배출가스 누설로 인하여 흡기 시스템 주변부의 온도가 높아져 드문 경우에 화재가 발생 할 수 있습니다.",243,100
비엠더블유코리아(주),BMW 120d,2015-03-13,2015-04-15,2018-08-20,20,"BMW N47, B47, N57 엔진이 장착된 일부차종의 EGR(배출가스재순환장치) 쿨러 결함으로 미세하게 냉각수가 새어 나와 냉각수 성분 중 물은 증발하고, 에틸렌 글리콜(부동액의 주성분)은 남아 있게 되어 배출가스에 있는 오일 성분과 그을음(Soot)이 함께 퇴적되어 EGR 쿨러 내부의 배출가스 통로 일부분을 막아 배출가스 냉각 효율을 저하시키는 현상을 발견 하였습니다. 이러한 경우 고온의 배출가스가 정상적으로 냉각 되지 않은 상태로 흡기다기관으로 전달 되어 일부 국소 부위 표면에 천공 현상이 발생 할 가능성이 있습니다. 또한, 에틸렌 클리콜, 오일, 그을음으로 퇴적된 혼합물이 고온의 배출가스에 의해 자체 온도가 상승하게 된 상태에서 흡기다기관 내부 표면에 점착하게 되면 천공이 발생 할 수 있습니다. 이러한 경우 발생된 천공에서 냉각되지 않은 고온의 배출가스 누설로 인하여 흡기 시스템 주변부의 온도가 높아져 드문 경우에 화재가 발생 할 수 있습니다.",20,100
비엠더블유코리아(주),BMW 420d Gran Coupe,2014-04-28,2015-02-23,2018-08-20,434,"BMW N47, B47, N57 엔진이 장착된 일부차종의 EGR(배출가스재순환장치) 쿨러 결함으로 미세하게 냉각수가 새어 나와 냉각수 성분 중 물은 증발하고, 에틸렌 글리콜(부동액의 주성분)은 남아 있게 되어 배출가스에 있는 오일 성분과 그을음(Soot)이 함께 퇴적되어 EGR 쿨러 내부의 배출가스 통로 일부분을 막아 배출가스 냉각 효율을 저하시키는 현상을 발견 하였습니다. 이러한 경우 고온의 배출가스가 정상적으로 냉각 되지 않은 상태로 흡기다기관으로 전달 되어 일부 국소 부위 표면에 천공 현상이 발생 할 가능성이 있습니다. 또한, 에틸렌 클리콜, 오일, 그을음으로 퇴적된 혼합물이 고온의 배출가스에 의해 자체 온도가 상승하게 된 상태에서 흡기다기관 내부 표면에 점착하게 되면 천공이 발생 할 수 있습니다. 이러한 경우 발생된 천공에서 냉각되지 않은 고온의 배출가스 누설로 인하여 흡기 시스템 주변부의 온도가 높아져 드문 경우에 화재가 발생 할 수 있습니다.",434,100
비엠더블유코리아(주),BMW 420d Gran Coupe,2015-02-13,2016-07-29,2018-08-20,1108,"BMW N47, B47, N57 엔진이 장착된 일부차종의 EGR(배출가스재순환장치) 쿨러 결함으로 미세하게 냉각수가 새어 나와 냉각수 성분 중 물은 증발하고, 에틸렌 글리콜(부동액의 주성분)은 남아 있게 되어 배출가스에 있는 오일 성분과 그을음(Soot)이 함께 퇴적되어 EGR 쿨러 내부의 배출가스 통로 일부분을 막아 배출가스 냉각 효율을 저하시키는 현상을 발견 하였습니다. 이러한 경우 고온의 배출가스가 정상적으로 냉각 되지 않은 상태로 흡기다기관으로 전달 되어 일부 국소 부위 표면에 천공 현상이 발생 할 가능성이 있습니다. 또한, 에틸렌 클리콜, 오일, 그을음으로 퇴적된 혼합물이 고온의 배출가스에 의해 자체 온도가 상승하게 된 상태에서 흡기다기관 내부 표면에 점착하게 되면 천공이 발생 할 수 있습니다. 이러한 경우 발생된 천공에서 냉각되지 않은 고온의 배출가스 누설로 인하여 흡기 시스템 주변부의 온도가 높아져 드문 경우에 화재가 발생 할 수 있습니다.",1108,100
비엠더블유코리아(주),BMW 420d xDrive Coupe,2014-01-21,2015-01-28,2018-08-20,249,"BMW N47, B47, N57 엔진이 장착된 일부차종의 EGR(배출가스재순환장치) 쿨러 결함으로 미세하게 냉각수가 새어 나와 냉각수 성분 중 물은 증발하고, 에틸렌 글리콜(부동액의 주성분)은 남아 있게 되어 배출가스에 있는 오일 성분과 그을음(Soot)이 함께 퇴적되어 EGR 쿨러 내부의 배출가스 통로 일부분을 막아 배출가스 냉각 효율을 저하시키는 현상을 발견 하였습니다. 이러한 경우 고온의 배출가스가 정상적으로 냉각 되지 않은 상태로 흡기다기관으로 전달 되어 일부 국소 부위 표면에 천공 현상이 발생 할 가능성이 있습니다. 또한, 에틸렌 클리콜, 오일, 그을음으로 퇴적된 혼합물이 고온의 배출가스에 의해 자체 온도가 상승하게 된 상태에서 흡기다기관 내부 표면에 점착하게 되면 천공이 발생 할 수 있습니다. 이러한 경우 발생된 천공에서 냉각되지 않은 고온의 배출가스 누설로 인하여 흡기 시스템 주변부의 온도가 높아져 드문 경우에 화재가 발생 할 수 있습니다.",249,100
비엠더블유코리아(주),BMW 420d xDrive Coupe,2015-03-16,2016-07-27,2018-08-20,324,"BMW N47, B47, N57 엔진이 장착된 일부차종의 EGR(배출가스재순환장치) 쿨러 결함으로 미세하게 냉각수가 새어 나와 냉각수 성분 중 물은 증발하고, 에틸렌 글리콜(부동액의 주성분)은 남아 있게 되어 배출가스에 있는 오일 성분과 그을음(Soot)이 함께 퇴적되어 EGR 쿨러 내부의 배출가스 통로 일부분을 막아 배출가스 냉각 효율을 저하시키는 현상을 발견 하였습니다. 이러한 경우 고온의 배출가스가 정상적으로 냉각 되지 않은 상태로 흡기다기관으로 전달 되어 일부 국소 부위 표면에 천공 현상이 발생 할 가능성이 있습니다. 또한, 에틸렌 클리콜, 오일, 그을음으로 퇴적된 혼합물이 고온의 배출가스에 의해 자체 온도가 상승하게 된 상태에서 흡기다기관 내부 표면에 점착하게 되면 천공이 발생 할 수 있습니다. 이러한 경우 발생된 천공에서 냉각되지 않은 고온의 배출가스 누설로 인하여 흡기 시스템 주변부의 온도가 높아져 드문 경우에 화재가 발생 할 수 있습니다.",322,99.38
비엠더블유코리아(주),BMW 420d xDrive Gran Coupe,2014-03-14,2015-02-28,2018-08-20,441,"BMW N47, B47, N57 엔진이 장착된 일부차종의 EGR(배출가스재순환장치) 쿨러 결함으로 미세하게 냉각수가 새어 나와 냉각수 성분 중 물은 증발하고, 에틸렌 글리콜(부동액의 주성분)은 남아 있게 되어 배출가스에 있는 오일 성분과 그을음(Soot)이 함께 퇴적되어 EGR 쿨러 내부의 배출가스 통로 일부분을 막아 배출가스 냉각 효율을 저하시키는 현상을 발견 하였습니다. 이러한 경우 고온의 배출가스가 정상적으로 냉각 되지 않은 상태로 흡기다기관으로 전달 되어 일부 국소 부위 표면에 천공 현상이 발생 할 가능성이 있습니다. 또한, 에틸렌 클리콜, 오일, 그을음으로 퇴적된 혼합물이 고온의 배출가스에 의해 자체 온도가 상승하게 된 상태에서 흡기다기관 내부 표면에 점착하게 되면 천공이 발생 할 수 있습니다. 이러한 경우 발생된 천공에서 냉각되지 않은 고온의 배출가스 누설로 인하여 흡기 시스템 주변부의 온도가 높아져 드문 경우에 화재가 발생 할 수 있습니다.",441,100
비엠더블유코리아(주),BMW 420d xDrive Gran Coupe,2015-03-25,2016-08-16,2018-08-20,638,"BMW N47, B47, N57 엔진이 장착된 일부차종의 EGR(배출가스재순환장치) 쿨러 결함으로 미세하게 냉각수가 새어 나와 냉각수 성분 중 물은 증발하고, 에틸렌 글리콜(부동액의 주성분)은 남아 있게 되어 배출가스에 있는 오일 성분과 그을음(Soot)이 함께 퇴적되어 EGR 쿨러 내부의 배출가스 통로 일부분을 막아 배출가스 냉각 효율을 저하시키는 현상을 발견 하였습니다. 이러한 경우 고온의 배출가스가 정상적으로 냉각 되지 않은 상태로 흡기다기관으로 전달 되어 일부 국소 부위 표면에 천공 현상이 발생 할 가능성이 있습니다. 또한, 에틸렌 클리콜, 오일, 그을음으로 퇴적된 혼합물이 고온의 배출가스에 의해 자체 온도가 상승하게 된 상태에서 흡기다기관 내부 표면에 점착하게 되면 천공이 발생 할 수 있습니다. 이러한 경우 발생된 천공에서 냉각되지 않은 고온의 배출가스 누설로 인하여 흡기 시스템 주변부의 온도가 높아져 드문 경우에 화재가 발생 할 수 있습니다.",635,99.53
비엠더블유코리아(주),BMW 435d xDrive Gran Coupe,2014-03-13,2015-04-23,2018-08-20,63,"BMW N47, B47, N57 엔진이 장착된 일부차종의 EGR(배출가스재순환장치) 쿨러 결함으로 미세하게 냉각수가 새어 나와 냉각수 성분 중 물은 증발하고, 에틸렌 글리콜(부동액의 주성분)은 남아 있게 되어 배출가스에 있는 오일 성분과 그을음(Soot)이 함께 퇴적되어 EGR 쿨러 내부의 배출가스 통로 일부분을 막아 배출가스 냉각 효율을 저하시키는 현상을 발견 하였습니다. 이러한 경우 고온의 배출가스가 정상적으로 냉각 되지 않은 상태로 흡기다기관으로 전달 되어 일부 국소 부위 표면에 천공 현상이 발생 할 가능성이 있습니다. 또한, 에틸렌 클리콜, 오일, 그을음으로 퇴적된 혼합물이 고온의 배출가스에 의해 자체 온도가 상승하게 된 상태에서 흡기다기관 내부 표면에 점착하게 되면 천공이 발생 할 수 있습니다. 이러한 경우 발생된 천공에서 냉각되지 않은 고온의 배출가스 누설로 인하여 흡기 시스템 주변부의 온도가 높아져 드문 경우에 화재가 발생 할 수 있습니다.",63,100
비엠더블유코리아(주),BMW 520d,2013-06-14,2014-06-27,2018-08-20,6294,"BMW N47, B47, N57 엔진이 장착된 일부차종의 EGR(배출가스재순환장치) 쿨러 결함으로 미세하게 냉각수가 새어 나와 냉각수 성분 중 물은 증발하고, 에틸렌 글리콜(부동액의 주성분)은 남아 있게 되어 배출가스에 있는 오일 성분과 그을음(Soot)이 함께 퇴적되어 EGR 쿨러 내부의 배출가스 통로 일부분을 막아 배출가스 냉각 효율을 저하시키는 현상을 발견 하였습니다. 이러한 경우 고온의 배출가스가 정상적으로 냉각 되지 않은 상태로 흡기다기관으로 전달 되어 일부 국소 부위 표면에 천공 현상이 발생 할 가능성이 있습니다. 또한, 에틸렌 클리콜, 오일, 그을음으로 퇴적된 혼합물이 고온의 배출가스에 의해 자체 온도가 상승하게 된 상태에서 흡기다기관 내부 표면에 점착하게 되면 천공이 발생 할 수 있습니다. 이러한 경우 발생된 천공에서 냉각되지 않은 고온의 배출가스 누설로 인하여 흡기 시스템 주변부의 온도가 높아져 드문 경우에 화재가 발생 할 수 있습니다.",6294,100
비엠더블유코리아(주),BMW 520d,2014-06-10,2016-07-12,2018-08-20,14934,"BMW N47, B47, N57 엔진이 장착된 일부차종의 EGR(배출가스재순환장치) 쿨러 결함으로 미세하게 냉각수가 새어 나와 냉각수 성분 중 물은 증발하고, 에틸렌 글리콜(부동액의 주성분)은 남아 있게 되어 배출가스에 있는 오일 성분과 그을음(Soot)이 함께 퇴적되어 EGR 쿨러 내부의 배출가스 통로 일부분을 막아 배출가스 냉각 효율을 저하시키는 현상을 발견 하였습니다. 이러한 경우 고온의 배출가스가 정상적으로 냉각 되지 않은 상태로 흡기다기관으로 전달 되어 일부 국소 부위 표면에 천공 현상이 발생 할 가능성이 있습니다. 또한, 에틸렌 클리콜, 오일, 그을음으로 퇴적된 혼합물이 고온의 배출가스에 의해 자체 온도가 상승하게 된 상태에서 흡기다기관 내부 표면에 점착하게 되면 천공이 발생 할 수 있습니다. 이러한 경우 발생된 천공에서 냉각되지 않은 고온의 배출가스 누설로 인하여 흡기 시스템 주변부의 온도가 높아져 드문 경우에 화재가 발생 할 수 있습니다.",14839,99.36
비엠더블유코리아(주),BMW 520d,2011-08-31,2013-05-16,2018-08-20,13887,"BMW N47, B47, N57 엔진이 장착된 일부차종의 EGR(배출가스재순환장치) 쿨러 결함으로 미세하게 냉각수가 새어 나와 냉각수 성분 중 물은 증발하고, 에틸렌 글리콜(부동액의 주성분)은 남아 있게 되어 배출가스에 있는 오일 성분과 그을음(Soot)이 함께 퇴적되어 EGR 쿨러 내부의 배출가스 통로 일부분을 막아 배출가스 냉각 효율을 저하시키는 현상을 발견 하였습니다. 이러한 경우 고온의 배출가스가 정상적으로 냉각 되지 않은 상태로 흡기다기관으로 전달 되어 일부 국소 부위 표면에 천공 현상이 발생 할 가능성이 있습니다. 또한, 에틸렌 클리콜, 오일, 그을음으로 퇴적된 혼합물이 고온의 배출가스에 의해 자체 온도가 상승하게 된 상태에서 흡기다기관 내부 표면에 점착하게 되면 천공이 발생 할 수 있습니다. 이러한 경우 발생된 천공에서 냉각되지 않은 고온의 배출가스 누설로 인하여 흡기 시스템 주변부의 온도가 높아져 드문 경우에 화재가 발생 할 수 있습니다.",13887,100
비엠더블유코리아(주),BMW 320d Gran Turismo,2016-06-20,2016-07-29,2018-08-20,81,"BMW N47, B47, N57 엔진이 장착된 일부차종의 EGR(배출가스재순환장치) 쿨러 결함으로 미세하게 냉각수가 새어 나와 냉각수 성분 중 물은 증발하고, 에틸렌 글리콜(부동액의 주성분)은 남아 있게 되어 배출가스에 있는 오일 성분과 그을음(Soot)이 함께 퇴적되어 EGR 쿨러 내부의 배출가스 통로 일부분을 막아 배출가스 냉각 효율을 저하시키는 현상을 발견 하였습니다. 이러한 경우 고온의 배출가스가 정상적으로 냉각 되지 않은 상태로 흡기다기관으로 전달 되어 일부 국소 부위 표면에 천공 현상이 발생 할 가능성이 있습니다. 또한, 에틸렌 클리콜, 오일, 그을음으로 퇴적된 혼합물이 고온의 배출가스에 의해 자체 온도가 상승하게 된 상태에서 흡기다기관 내부 표면에 점착하게 되면 천공이 발생 할 수 있습니다. 이러한 경우 발생된 천공에서 냉각되지 않은 고온의 배출가스 누설로 인하여 흡기 시스템 주변부의 온도가 높아져 드문 경우에 화재가 발생 할 수 있습니다.",81,100
