"","리콜사유","Classification","Part.Type","Specific.Part"
"530","ABS모듈 프로그램의 이상으로 인해 주행 중에 운전자가 브레이크 페달을 작동할 경우 평소보다 더 많은 힘으로 브레이크 페달을 눌러야 할 수 있으며, 이 같이 추가적인 브레이크 페달 작동 요구로 인해 운전자의 브레이크 적용 반응시간이 느려질 수 있으며 사전 경고 없이 사고 위험이 높일 수 있음","Safety","Brakes","Brakes"
"531","사이드 스탠드 스위치의 체결 부위에 물이 스며들 수 있어 스위치가 오동작 할 수 있음","Safety","Other","Unknown"
"532","주행 중 비정상적 사용(변속레버 P단 진입)을 반복할 경우 감속기 내부 부품이 마모될 가능성이 있는 결함 * 감속기 : 모터의 회전을 바퀴에 효율적으로 전달하기 위한 장치이며, 모터의 회전수를 필요한 수준으로 감속해 더 높은 토크를 얻을 수 있도록 조정하는 역할","Safety","Engine","Unknown"
"533","연료레벨센서와 연료라인 간의 간극이 너무 좁아 연료레벨센서가 연료라인에 간섭을 받아 정상적으로 작동하지 않을 가능성이 있습니다. 해당 결함은 저압 연료펌프 생산 공정에서 연료라인과 연료레벨센서가 상호 간섭되지 않도록 처리하는 공정이 누락되어 발생한 사항입니다.","Safety","Fuel System","Fuel Pump"
"534","에어백 공급업체의 생산공정의 오류로 특정 그룹에서 결함이 있는 에어백이 장착 되었습니다. 운전석 에어백 모듈의 인플레이터 하우징 재료에 결함이 있는 스틸 사용으로 내구성이 저하될 수 있습니다.","Safety","Interior Safety","Unknown"
"535","부품공급 업체에서 부품 제조시 부품 연결부위에 클림핑 (crimping, 주름을 만들어 외부 유입 요인 차단)이 잘못되어 수분 또는 습기가 브레이크 라인에 유입될 수 있습니다. 이로 인하여 브레이크 마스터 실린더와 유압 장치 사이에 있는 브레이크 라인에 부식이 발생할 가능성이 있고, 이로 인해 녹 입자가 유압 장치 (ABS Module) 안쪽의 필터에 쌓여 막히게 될 우려가 있음을 발견하였습니다.","Safety","Brakes","Brakes"
"536","승하차 도어의 전자식 도어래치 폴 모터 내부 회로기판(PCB)에 절연 코팅을 위해 사용한 휘발성 이산화규소(SiO2)의 증발가스가 모터의 *브러시와 *정류자 사이에 접촉하여 정류자 표면을 오염시킬 수 있음 (*브러시(Brush): 고정 와이어와 움직이는 부품 사이에서 전류를 전도하는 장치로써 회전하는 부품에 주로 사용) (*정류자(commutator): 일정한 방향으로 회전하도록 전류의 방향을 주기적으로 바꿔 전기자에 공급하는 장치)","Safety","Engine","Unknown"
"537","일부 특정 사양(열선 스티어링 휠 옵션 미적용) 차량에서 타이어공기압 경고장치(TPMS) 회로 누락에 따라 계기판의 타이어 공기압력이 ""0""으로 표시되는 현상 발생","Safety","Steering","Tires"
"538","프론트 브레이크 마스터 실린더 반조볼트의 문제로 인하여브레이크 오일이 경화되는 현상이 발생하여 프론트 브레이크의 제동거리가 정상보다 늘어나거나 작동하지 않을 수 있음","Safety","Brakes","Brakes"
"539","연료펌프의 제작이 오발르게 되지 않을 수 있으며 이로인한 연료펌프의 고장으로 인해 엔진으로 공급되믄 연료 압력이 낮을 수 있음","Safety","Engine","Fuel Pump"
"540","전동시트 높이 조절 브라켓의 볼트 조립부가 규격에 맞지 않게 제작되어 브라켓에 체결되는 볼트가 풀릴 수 있음","Safety","Seats and Interior","Seats"
"541","법규확인의 부주의로 해당차량의 전조등의 광속이 2천루멘을 초과하는 전조등이 장착되어 「자동차 및 자동차부품의 성능과 기준에 관한 규칙」 제38조의 규정을 만족할 수 없음. * 제38조(전조등) ④주변환빔 전조등의 광속이 2천루멘을 초과하는 전조등에는 기준에 적합한 전조등 닦이기를 설치하여야 한다.","Safety","Lighting","Headlights"
"542","공급 업체의 생산 공정 과정에서, 퓨즈박스로 연결되는 와이어링 하니스의 특정 연결부에 너트가 누락되어 볼트가 제대로 고정되지 않았을 수 있습니다. 제대로 고정되지 않은 연결부로 인해, 연결 부위에 전기 저항이 증가할 수 있습니다.","Safety","Electrical","Unknown"
"543","스마트 크루즈 컨트롤 작동시 특정 주행 도로의 코너 곡률 정보 처리 가능 용량 초과로 소프트웨어 오류 발생하여 크루즈컨트롤 기능 해제 되지 않아 스마트 크루즈 가감속 제어 및 차간 거리 유지가 되지 않는 현상 발생","Safety","Other","Unknown"
"544","전방 와이퍼 암 고정 너트가 규정치 이하의 토크로 조여져 와이퍼 암이 차체에 정확하게 고정되지 않을 수 있으며, 이로 인해 전방 와이퍼가 작동될 경우 전방 와이퍼가 앞유리를 적절하게 닦아내지 못하거나 전방 와이퍼의 작동을 중지하였을 경우 전방 와이퍼가 원래 위치가 아닌 다른 위치에서 멈출 수 있음","Safety","Body/Chassis","Unknown"
"545","2018년식 짚체로키 승용자동차에 손상된 연료 공급 튜브가 장착되었을 수 있습니다. 이는 연료 공급 튜브와 커넥터(연료 공급 튜브의 끝에 장착)의 조립을 위해 사용되는 우레탄 블럭(튜브와 커넥터를 정렬해 주는 공구)이 손상되어, 연료 공급 튜브와 커넥터의 정렬이 정확하지 않은 상태에서 튜브와 커넥터가 조립되었고, 이로 인해 튜브가 손상될 가능성이 있습니다.","Safety","Fuel System","Fuel Pump"
"546","ECE R112 인증 기준에는 헤드램프에 제작사가 표시된 라벨이 장착되어 있어야 하나, 대상 차량의 헤드램프에는 제작사인 “KOITO”의 생산자 명이 삭제된 라벨지가 부착되어 있습니다. 이와 같은 경우는 한 EU 자유 무역 협정에 근거하여 국내 기준에도 부합되지 않습니다","Safety","Other","Unknown"
"547","차량 문의 외부 손잡이와 도어 개폐장치 안쪽으로 연결되는 와이어(보덴 케이블)가 대각선으로 경로가 부적절하게 연결되어 있어 도어 개폐장치 쪽으로 연결된 와이어 고정부가 파손될 수 있으며, 이럴 경우 외부 손잡이로 문을 열지 못할 가능성이 있음","Safety","Body/Chassis","Unknown"
"548","2-3축을 연결하는 인터프로펠러샤프트와 트러니언베이스 간섭 ※ 트러니언베이스 : 프레임에 고정되어 축하중을 프레임에 전달하는 부품 ※ 인터프로펠러샤프트 : 2축의 동력을 3축으로 전달하는 회전축 (트러니언베이스 대비 강도가 뛰어나 간섭 시 영향 없음)","Safety","Other","Unknown"
"549","뒤 쇽 업소버 컨트롤 유닛의 소프트웨어 오류로 쇽 업소버 내부의 오일이 누유될 경우 주행중 뒷 타이어가 미끄러져 안전운행에 지장을 줄 가능성","Safety","Suspension","Tires"
"550","특정 기간 동안 연료 탱크 라인과 연료 펌프를 연결하는 커넥터 부품사의 제조 치수 편차로 인하여, 차량에 장착된 플러그인 커넥터 가이드 슬리브가 사용 기간 중 변형(일그러짐)될 가능성이 있습니다. 또한, 변형된 가이드 슬리브의 진동 마찰로 인해, 커넥터 체결력에 이상이 생길 수 있습니다. *커넥터 및 가이드 슬리브 기능: 연료 탱크 라인과 고압 연료 펌프 연결,조립 작업자 작업 편의성 위함","Safety","Fuel System","Fuel Pump"
"551","BSI(빌트-인 시스템 인터페이스)(각 ECU에 전원을 공급하는 장치), BSM(엔진 릴레이 유닛)(엔진룸의 각종 장치들에 전원을 공급하는 장치)의 라이트 관련 소프트웨어 설계 문제","Safety","Engine","Engine"
"552","앞 본넷, 앞 좌/우 휀더, 앞 유리 하부판, 에어컨 에어덕트 상판, 앞 트렁크 판, 와이퍼 브라켓의 구조 설계 오류로 인해 충돌 시 “자동차 및 자동차부품의 성능과 기준에 관한 규칙” 제102조의2(보행자 보호) 제1호 보행자머리모형 상해기준에 적합하지 않음","Safety","Air Conditioning","Unknown"
"553","2.4L 가솔린 엔진 및 ACC(능동형 정속주행장치)가 장착된 2015년식 200, 2016~2018년식 짚체로키와 3.6L 가솔린 엔진이 장착된 2014~2017년식 300C, 2014~2018년식 짚그랜드체로키 승용자동차의 엔진컨트롤모듈 프로그램이상(정속주행장치 제어 관련)으로 인해, 운전자가 정속주행기능을 사용하고 있는 도중 정속주행기능을 해제(정속주행장치 버튼을 누르거나 브레이크를 밟음)하였음에도 불구하고 설정 속도가 유지되거나 또는 설정 속도값보다 실제 차량 속도가 낮을 경우 설정 속도값까지 계속 속도가 증가하여 사전경고없이 충돌의 위험성이 있습니다.(운전자가 기어를 중립으로 놓거나 차가 멈출때까지 브레이크를 밟기 전까지 이 증상은 계속 될 수 있음)","Safety","Brakes","Engine"
"554","스티어링 칼럼 스위치 모듈 소프트웨어에서 오류가 잘못 인식될 수 있습니다. * 스티어링 칼럼 스위치 모듈 컨트롤 유닛 - 처리하는 정보: 회로 상태 / 엔진 회전 상태 / 실내 온도 / 실외 온도 / 네비게이션 조작 요청 등 - 처리 후 다른 컨트롤 유닛으로 전송하는 정보: 스티어링 휠 각도 / 스티어링 휠 속도 / 기어 선택 상태 등","Safety","Steering","Engine"
"555","조수석 에어백 전개시 인플레이터 내 과도한 압력 상승","Safety","Interior Safety","Unknown"
"556","진공 펌프*의 엔진오일 공급 유로의 가공이 부적절하여 진공 펌프에 엔진오일이 공급되지 않을 가능성이 있음. * 진공 펌프: 브레이크 부스터에 부압을 공급하는 장치","Safety","Brakes","Engine"
"557","엔진커버가 엔진배선과 간섭되어 배선이 손상될 수 있음","Safety","Engine","Engine"
"558","시트 벨트 버클 제작사의 생산 편차로 인하여 뒷좌석의 더블 시트 벨트 버클(뒤우측과 중간시트 벨트 버클) 체결 캠이 정상적으로 작동되 않음","Safety","Seats and Interior","Seats"
"559","기어변속장치의 쉬프트샤프트 토션스프링(Torsion spring)이 설계오류로 불충분한 비틀림강성으로 제작되었습니다. 지속적인 충격이 가해질 경우 토션스프링(Torsion spring)이 내구성 문제로 피로에 의한 파손이 발생합니다. 모터사이클 변속방식 : 모터사이클은 변속 페달 조작하면 쉬프트샤프트와 일체식인 변속레버가 쉬프트드럼 끝의 핀을 좌/우 방향으로 회전시킵니다. 쉬프트드럼의 캠 홈이 패여 있고 습동 기어를 움직이는 쉬프트포크는 캠 홈에 끼워져 있어서 쉬프트 드럼이 회전하면 그 캠 홈에 따라 좌우로 움직여 쉬프트포크가 기어를 움직여서 변속하는 방식입니다. ※ 쉬프트샤프트 토션스프링 : 모터사이클 변속기 특성상 쉬프트샤프트가 움직이면 다시 다음 기어 조작을 위해서 조작전 위치로 복원이 되어야 다음 변속이 가능합니다. 그래서 쉬프트샤프트가 원상태로 복원이 되도록 토션스프링을 사용합니다.","Safety","Suspension","Unknown"
"560","연료펌프 조립 오류 가능성(연료펌프 커넥터 핀과 배선간의 클램핑 미비)","Safety","Fuel System","Fuel Pump"
"561","저압연료파이프의 압력 온도 센서 고정 핀이 정확하게 고정되지 않아 연료가 누유되어 화재가 발생할 가능성","Safety","Fuel System","Fuel Pump"
"562","리어토션 크랭크 액슬의 트레일링 암에 대한 초기 변형은 차량에 대한 후방 충격 또는 부적절한 고속의 수지 도중에 극심한 충격에 의한 것일 수 있으며, 변형을 감지하고 수리하지 않는다면 트레일링 암이 균열 생길 수있음","Safety","Suspension","Unknown"
"563","허브너트*의 결함으로 타이어가 이탈될 가능성 * 허브너트 : 자동차 차축과 타이어를 연결해 주는 부품","Safety","Wheels","Tires"
"564","뒤 테일 램프의 접지 핀 커넥터의 산화로 인하여 테일램프가 어두워 지거나 작동하지 않을 수 있으며, 뒤테일 램프가 작동하지 않을 경우 해당 자동차의 후면 가시성을 낮추게 함","Safety","Other","Unknown"
"565","연료파이프의 구조적 결함으로 인해 파이프가 파손될수 있으며 파이프 파손시 연료 누유로 인한 시동정지의 가능성이 있음","Safety","Fuel System","Fuel Pump"
"566","연료공급 압력이 낮아질수 있으며 낮은 연료압력은 엔진경고등 점등 및 엔진 크랭킹 지연, 시동불능, 출력감소 또는 엔진시동꺼짐을 일으킬 수 있음","Safety","Engine","Fuel Pump"
"567","브레이크 배력장치에 연결된 진공라인으로 엔진오일이 유입되어 배력장치내 다이어프램 손상이 일어날 수 있으며 그로인해 브레이크 배력장치의 역할이 감소 될수 있음","Safety","Brakes","Brakes"
"568","운전석 인플에이터(팽창기)의 내부 칸막이 부품이 규격 외 부품으로 잘못 조립되어짐","Safety","Other","Unknown"
"569","ACU 프로그램 내부 데이터를 주기적으로 처리하는 과정 중 순간적인 전원 불안정 시 ACU 데이터 처리 오류를 고장으로 오인식","Safety","Other","Unknown"
"570","센터 스탠드 브래킷 장착 핀과 왼쪽 센터 스탠드 브래킷 사이의 부품 제작 과정 중 부적절한 용접 방식으로 핀이 움직이거나 떨어져 주행 중 센터 스탠드 스프링이 떨어질 수 있습니다.","Safety","Other","Unknown"
"571","“원격 시동시 자동열선 시트(원격으로 시동을 걸어 시트의 열선을 자동으로 작동시키는 기능)” 설정하에 원격으로 시동을 걸 경우, 반복적인 하중에 의해 주름이 발생한 시트 내 열선에 과다한 저항이 발생되어 해당부위(시트내 주름이 발생된 열선)가 과열되는 현상이 발생할 수 있음.","Safety","Seats and Interior","Seats"
"572","하이브리드 시스템의 제어 소프트웨어가 부적절하여 급가속등의 고부하 주행시에 인버터 내부회로가 손상되었을 경우, 안전 모드*로 주행 되어야 하나 안전모드로 변경 되지 않을 가능성이 있음. * 안전모드: 차량의 일부 이상이 감지될 경우, 제한적인 출력 및 속도로 안전한 장소에 이동 할 수 있도록 하는 장치.","Safety","Other","Unknown"
"573","조수석용 에어백 인플레이터 가스 발생제의 습기 방지가 부적절하여, 온도 및 습도변화의 반복에 의해 가스발생제의 성능이 저하될 가능성이 있음.","Safety","Interior Safety","Unknown"
"574","공급업체의 생산 공정상의 오류로 인해, 특정 전동식 파워 스티어링 위치 센서에 결함이 있을 수 있습니다. 로터 위치 센서에 장착되는 자석에 사용되는 스틸 볼트(샤프트)가 경화 과정에서, 충분히 경화되지 않았을 수 있습니다. 이는 다량의 볼트가 한꺼번에 오븐에서 경화되어 발생한 문제입니다. 제대로 경화되지 않은 스틸 볼트는, 프레스 인(press-in) 과정에서 모양이 변형되었을 수 있습니다. 이 과정에서 손상된 자석이 장착되었을 수 있으며, 시간이 지남에 따라 위치 감지 오류가 발생할 수 있습니다. 특정 차량의 전동식 파워 스티어링 위치 센서가 사양을 충족하지 못하여 위치를 제대로 감지하지 못 할 수 있습니다. 전동식 파워 스티어링 위치 센서는 전기 모터 내의 로터 위치를 감지하는 역할을 하는 장치입니다.","Safety","Steering","Unknown"
"575","브레이크 오일라인에 공기가 유입되었을 가능성이 있습니다.","Safety","Brakes","Brakes"
"576","2018년식 짚체로키 승용자동차의 앞쪽 우측 하프샤프트의 일부분인 베어링 케이지가 제조시 잘못된 열처리로 인해 해당 부품의 내구성이 저하되고 이로 인해 하프샤프트에 들어가는 베어링 케이지가 파손될 수 있습니다. 이럴 경우 주행 중 소음과 진동이 발생할 수 있으며, 앞쪽 우측 바퀴로 동력전달이 안될 수 있습니다. 또한 상시 4륜 시스템을 통해 뒷바퀴로 동력 전달이 되어야 하지만, 앞쪽 우측 하프샤프트의 파손으로 인해 뒷바퀴로 동력전달이 안될 수 있고, 이로 인해 사고 발생 가능성이 있습니다.(뒷바퀴는 앞바퀴와 동력이 연결되어 있으며, 앞쪽 동력이 상실될 경우 뒷바퀴로 동력 전달이 안되며, 결과적으로 차량 가속이 안됨)","Safety","Other","Unknown"
"577","로커암 커버(흡기쪽)가 엔진헤드와 충분히 밀착되지 않아 엔진오일이 누유되어 화재의 가능성이 있어 안전운행에 지장","Safety","Engine","Engine"
"578","트랜스 미션 프런트 케이스의 주조 공정중 주형틀의 윤활제를 공급해주는 노즐이 막혀 크랙이 발생 할 수 있음","Safety","Other","Unknown"
"579","주행중 엔진 경고등이 발생하고 안전모드로 진입하게 됨","Safety","Engine","Engine"
"580","스티어링 커플링 체결 장치가 정상적으로 체결되지 예방적인 조치로 스티어링 커플링 잠금장치","Safety","Steering","Unknown"
"581","차량의 전면 충돌 시 안전벨트 미 착용 조수석 승객의 머리가 에어백이 위치한 인스트루먼트패널 상단 부위와 충돌 할 경우 상행가 발생할 수 있음","Safety","Interior Safety","Unknown"
"582","제동등 스위치를 조립하는 작업자의 부주의로 윤활 구리스가 묻은 장갑을 착용한 상태로 제동등 스위치를 조립하여 구리스가 침투하면 절연제로 작용할 수 있어 제동등이 점등이 되지 않을수 있으며 경우에 따라 제동등 스위치가 켜지지 않을 때 변속레버가 주차위치에서 움직이지 않을 수 있음","Safety","Other","Unknown"
"583","자동차 안전성 제어장치 기능고장 식별표시는 기능고장 시 시동이 걸린 상태에서 항시 켜져 있어야 하나, 해당 자동차는 기능고장발생 후 재시동 할 경우 표시가 바로 켜지지 않고 주행을 시작(2km이상 속도)하면 켜져 자동차안전기준 제90조의2 위반","Safety","Electrical","Unknown"
"584","연료 주입구의 고무마개가 약하게 제작되어, 고무마개가 손상될 경우 연료탱크로 수분이 들어가 주행 중 시동꺼짐이 발생할 가능성","Safety","Fuel System","Fuel Pump"
"585","후부반사기 안전기준 위반(후부반사기 금형 손상에 따른 제품 표면(렌즈 표면)의 불균일한 반사면 발생","Safety","Electrical","Unknown"
"586","(대상차량추가 사유) 한국지엠은 후륜 브레이크 라인 내에 수소가스가 잔존하여 제동력이 감소되는 현상이 발생 할 가능성을 2018년 08월 24일 확인하여 대상차량에 대한 시정조치 실시 계획을 수립하여 2018년 9월11일 보고하였습니다. 10월 5일(금) 시정조치를 실시하기 이전 2018년 10월 4일 최종 점검하는 과정에서 일부차량이 누락 된 사항 (사유: 수입 차량의 경우 리콜 대상대수 산정 시 차량의 위치 파악을 통하여 진행되는데 차량 위치의 빈번한 이동으로 인하여 대상대수 산정 착오 발생)을 확인하게 되어 시정조치 계획서를 보고 드립니다. (기술적인 내용) 후륜 브레이크 캘리퍼 피스톤 가공 시 불완전한 크롬 도금 공정으로 인해 수소가스가 도금층 내에 포집되어, 브레이크액 주입 후 포집되어 있던 수소가스가 빠져나와 브레이크 라인 내에 잔존할 가능성이 있고 이로 인하여 제동 시 충분한 유압이 형성되지 않아 제동력이 감소될 가능성이 있음.","Safety","Brakes","Brakes"
"587","스키 가방의 고정 벨트의 이음새가 견고하지 않아 스키 가방이 제 위치에 고정되지 않을 우려가 있습니다.","Safety","Other","Unknown"
"588","BMW M3, M4 Convertible, M4 Coupe 모델 중 일부 차량에서 드라이브샤프트 제작 공정상의 오류가 발견 되었습니다.","Safety","Drivetrain","Unknown"
"589","소프트웨어 관련 부서 담당자의 실수로 엔진 과열 방지 시스템과 관련해서 최적화 된 기능이 탑재 되지 않은 소프트웨어가 엔진 ECU에 적용 되어 엔진 과열방지 시스템이 제대로 작동하지 않을 경우 엔진이 과열되어 엔진 오일섬프 변형을 유발할 수 있으며 그로 인하여 엔진오일 드레인 코크에서 엔진오일이 누유 됨","Safety","Engine","Engine"
"590","운전석 에어백 인플레이터 하우징 용접 작업 후 불충분한 냉각 공정","Safety","Air Conditioning","Unknown"
"591","제네시스 EQ900, G80, G70 일부 차량에서 글라스 접착보조제(프라이머) 오사용","Safety","Other","Unknown"
"592","시동키 고리에 추가적인 무게를 줄 수 있는 물품(다른키, 리모트키, 악세사리등)이 부착된 상태에서 비포장도로를 주행하거나 이와 유사한 충격이 가해질 경우 점화스위치의 위치가 RUN->ACC또는OFF로 움직일수 있음","Safety","Suspension","Unknown"
"593","동반석 앞 에어백 모듈에서 가스 확산기를 에어백 하우징에 고정시키는 고정 장치가 가스확산기 프레임에 정상적으로 고정되어 있지 않을 수 있음","Safety","Interior Safety","Unknown"
"594","엔진컨트롤유닛 소프트웨어 (연료펌프) 오류","Safety","Engine","Engine"
"595","2018년 5월 10일, 17일 그리고 18일에 소프트웨어 업데이트 서비스를 받은 차량에서 소프트웨어 내용에 오류로 인해 비상자동제동장치가 비활성화 될 가능성이 있음","Safety","Other","Unknown"
"596","DLT (Dynamic Locking Tongue) 기능이 없는 안전벨트가 장착된 차량의 뒷좌석 좌우측 안전벨트 걸쇠가 뒤쪽 기둥 (C 필러) 패널과 뒷좌석 패널 사이로 들어갈 수 있습니다. 이 경우, 뒷좌석 좌우측의 안전벨트를 사용하지 못할 수 있습니다. ※ DLT (Dynamic Locking Tongue): 강한 충돌 시 발생 시 안전벨트가 탑승자를 지지하지 못하고 미끄러지는 현상 발생. 이러한 현상을 방지하여 운전자의 피해를 줄여주는 기능 2018년 11월 14일 추가 : 보호용심은 뒷좌석 양문쪽의 플라스틱 부분 안전벨트가 안으로 들어가는곳에 장착됩니다. 첨부3 작업지시서를 보시면 좀더 이해하시기 쉬울듯 합니다.","Safety","Seats and Interior","Unknown"
"597","부품공급업체의 업무 착오로 기준용량(배선 단면적 4mm^2) 이하의 전기 배선이 공급되어 퓨즈박스내 에어서스펜션용 에어컴프레서로 연결되는 전기배선이 열과부하에 의해 단선되어 에어컴프레서가 적절히 작동되지 않을 수 있습니다.","Safety","Suspension","Unknown"
"598","엔진에 연료를 공급하는 파이프의 손상으로 주행 중 연료 누유로 인한 화재발생 가능성","Safety","Engine","Engine"
"599","후륜 구동축의 스프링 브레이크 챔버의 커버와 이를 고정하는 볼트의 조립이 헐거워 주차 브레이크 기능을 저하시킬 가능성","Safety","Brakes","Brakes"
"600","엔진 ECU(전자제어시스템) 프로그램 결함으로 인해 주행 중 감속시 순간적으로 연료 공급이 원활하지 않아 시동이 꺼질 수 있음","Safety","Engine","Engine"
"601","연료 파이프 굴곡부와 엔진 상부 커버의 간섭으로 마모가 발생하여 연료가 누유되고 화재가 발생할 가능성","Safety","Engine","Fuel Pump"
"602","측면 부위의 미세한 크랙으로 주행시 타이어 공기압이 낮아질 가능성","Safety","Wheels","Tires"
"603","흡기쪽의 로커암 커버가 배기쪽보다 상대적으로 온도가 낮아 엔진 헤드와의 밀착성 편차로 인한 오일 누유","Safety","Engine","Engine"
"604","계기판의 좌우 액정패널에 있어 회로기판의 부적절한 생산 공정으로 인하여 디스플레이의 이미지가 흐트려짐 및 미조치할 경우 주행거리계 및 속도계가 보이지 않을 가능성이 있음","Safety","Other","Unknown"
"605","뒤 서스펜션 토우 조정 링크의 고정 너트가 규정 토크에 미달되게 조립됨","Safety","Suspension","Unknown"
"606","ABS(Anti-lock Brake System) 자기진단 기능＊이 정상적으로 작동되지 않아 ABS 고장시 운전자가 이를 인지할 수 없어 안전운행에 지장을 줄 가능성","Safety","Brakes","Unknown"
"607","전륜 브레이크 호스 중 한쪽에서 누유가 될 경우 잠재적으로 제동 성능 저하로 인해 제동거리가 길어 질수 있음","Safety","Brakes","Brakes"
"608","마스터 실린더 플로트 결함으로 인해 강한 제동을 반복 시 유압 손실이 발생 여 제동길이가 길어 질 수 있음","Safety","Other","Unknown"
"609","1) Maserati S.p.A.는 잘못된 제조 공정으로 인하여, LED 전조등이 장착되어 생산된 차량의 전조등 조사각 이 기준치보다 높게 설정되어 제작됨. 2) 해당 조사각이 기준치보다 높게 설정되어 제작된 차량들은 자동차관리법 자동차 및 자동차부품의 성능과 기준에 관한 규칙 별표 6의4 제1호다목2)가)(1)(가)의 변환빔 전조등의 컷오프선 수직위치 설치 한계범위를 초과하여 부적합 「자동차 및 자동차부품의 성능과 기준에 관한 규칙」 [별표 6의4] 변환빔 전조등의 설치 및 광도기준(제38조제2항제3호 관련) 1.변환빔 전조등의 설치기준 다.조사방향 2)수직위치 가)컷오프선의 수직위치는 자동차의 변환빔 전조등 설치 높이(발광면의 최하단) 대비 아래 기준에 적합할 것 (1)설치 높이가 0.8미터 이하인 경우 (가)한계 범위 : -0.5퍼센트 ~ 2.5 퍼센트","Safety","Lighting","Headlights"
"610","특정 주행 조건에서 캐니스터 퍼지밸브(CPV)의 내부 열린 상태의 고착이 발생할 수 있음","Safety","Other","Unknown"
"611","포르쉐 본사에서 내부 장시간 고부하 테스트 중 해당 차량의 뒤 차축 PDCC안티 롤바에 연결 되어있는 커넥팅 링크가 이탈된 것이 확인되었습니다. 커넥팅 링크의 실링 부위에 실금이 생기고 이 부위에 오랜 시간 동안 마모가 진행되어 커넥팅 링크가 이탈되는 제조상 결함으로 내구성을 보장 할 수 없습니다. 이 부품은 주행안전성과 관계가 없는 부품이지만 이탈된 부품으로 인해 현가장치 구성품 (에어 서스펜션)에 손상을 줄 수 있는 가능성이 있어 개선된 부품으로 교체하게 됩니다.","Safety","Suspension","Unknown"
"612","에어백 컨트롤 유닛 소프트웨어의 오류로 인해, 에어백 컨트롤 유닛 내의 사고기록장치가 일부 데이터를 저장하지 못할 수 있습니다.","Safety","Interior Safety","Unknown"
"613","일부 차량에서 간헐적 에어컨 응축수 누수로 조수석 플로워 콘솔 내부 릴레이 박스에 수분 유입 시 전기적 쇼트에 의해 화재 발생 가능성이 있는 결함 ※ 릴레이 박스 : 공조기, 시트워머, 자동도어잠금 작동을 위한 장치","Safety","Electrical","Seats"
"614","해당 차량의 조수석 시트 승객 감지 센서의 제조상의 결함","Safety","Seats and Interior","Seats"
"615","LED 전조등 조사각이 사양에 맞지 않게 조정되었을 수 있습니다.","Safety","Lighting","Headlights"
"616","엔진 피스톤의 가공 과정에서 첫 번째 세그먼트 홈의 깊이가 제원에 맞지 않아 엔진 실린더와 피스톤 사이의 기밀에 문제가 있어서 비정상적으로 많은 양의 블로바이 가스가 발생하여 엔진오일이 흡기 라인을 통해 연소실 내부로 유입되어 엔진 시동 꺼짐이 발생하고 잠재적으로 엔진이 파손될 위험이 있으며 엔진 경고등이 점등되고 극히 예외적인 경우 제한적으로 원치 않는 가속이 발생하였다가 몇 초 후에 엔진 파손으로 인해 엔진 시동이 꺼질 수 있는 가능성","Safety","Engine","Engine"
"617","전동식 파워 스티어링 소프트웨어 결함으로 파워스티어링이 작동되지 않아 안전운행에 지장","Safety","Steering","Unknown"
"618","고압 연료라인 크랙이 발생할 수 있어 연료 누유 발생으로 인한 화재 가능성","Safety","Fuel System","Fuel Pump"
"619","조향 보조장치가 작동 중 일때, 핸드오프 감지기능(Hand-Off-Detection)은 운전자가 핸들을 잡지 않고 있는지를 모니터링 합니다. 이러한 모니터링은 조향 시스템의 내부 토크값을 측정하여 수행됩니다. 스티어링 부트의 부정확한 설치로 인해 핸드오프 감지기능에 오류가 발생할 수 있습니다.","Safety","Steering","Unknown"
"620","파노라마 선루프 제작 중 일부 모터 소응이 확인되어 부품 교환 시 다른 사양의 프로그램이 입력된 모터로 오장착되어 비정상 작동 가능성","Safety","Engine","Unknown"
"621","스티어링 기어박스 피니언 플러그 나사 고정제 도포 부위 물림량 부족","Safety","Steering","Unknown"
"622","변속케이블이 고정용 브라켓에 정확히 장착되어 있지 않은 경우 기어를 원하는 위치로 움직일 수 없거나 또는 ""P""위치로 이동 불가, 기어가 주차 위치에 들어가지 않은채 하차할 경우 차량이 움직여 충돌사로 이어질 수 있음","Safety","Other","Unknown"
"623","전기식 캡 틸팅펌프 콘트롤 릴레이 결함으로 운전자가 의도하지 않게 작동되어 안전운행에 지장","Safety","Electrical","Unknown"
"624","앞 브레이크 리저브 탱크 고정볼트와 브레이크 액 연결튜브 간섭으로 브레이크액이 누유되는 경우 제동이 되지않아 안전운행에 지장","Safety","Brakes","Brakes"
"625","압축된 공기를 강제로 엔진에 넣어 출력을 향상 시켜주는 터보의 냉각펌프 제어장치 결함으로 냉각펌프에 화재가 발생하여 안전운행에 지장","Safety","Engine","Engine"
"626","ABS 장치를 조립 할 때 수분이 함유된 조립용 윤활제를 사용하여 유압펌프 피스톤이 부식 및 ABS를 작동 오일에 공기가 혼입되어 제동성능이 떨어질 가능성","Safety","Brakes","Unknown"
"627","차량의 제조과정에서 해당 차량의 전면 본넷 잠금장치가 사양에 맞지 않게 리벳 고정이 되어 있을 가능성이 발견 되었음","Safety","Other","Unknown"
"628","차량 제조과정에서 컨트롤암과 너클의 고정 볼트로 가조립 후 이후, 공정에서 정조임 작업이 이루어지는데 작업자의 실수로 정조임 작업이 누락됨. 또한 이과정에서 검사 시스템의 미작동으로 인해 문제 차량이 검출되지 않고 정상 출고됨","Safety","Other","Unknown"
